City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,41,40,7.0,RU,2024-11-11 22:14:48
1,horta,38.5333,-28.6333,20.57,95,100,7.6,PT,2024-11-11 22:19:38
2,port-aux-francais,-49.35,70.2167,5.18,93,100,9.63,TF,2024-11-11 22:19:40
3,camana,-16.6228,-72.7111,18.12,87,77,2.08,PE,2024-11-11 22:19:41
4,serdar,38.9764,56.2757,10.29,83,100,0.99,TM,2024-11-11 22:19:42
5,waitangi,-43.9535,-176.5597,12.12,72,21,1.79,NZ,2024-11-11 22:19:44
6,anadyr,64.75,177.4833,-12.72,78,75,4.0,RU,2024-11-11 22:19:45
7,chernomorskoye,45.5039,32.6997,7.97,74,82,6.8,UA,2024-11-11 22:19:46
8,penrith,54.6658,-2.7576,4.09,85,84,0.39,GB,2024-11-11 22:19:48
9,rio grande,-32.035,-52.0986,14.58,68,100,8.03,BR,2024-11-11 22:19:49
10,la passe,45.5549,-0.8967,8.15,90,46,6.33,FR,2024-11-11 22:19:50
11,fortuna,40.5982,-124.1573,10.52,96,40,1.34,US,2024-11-11 22:19:51
12,diapaga,12.0708,1.7889,20.54,23,0,2.95,BF,2024-11-11 22:19:52
13,brisas de zicatela,15.8369,-97.0419,26.48,84,95,1.92,MX,2024-11-11 22:19:54
14,hammerfest,70.6634,23.6821,5.25,93,75,2.06,NO,2024-11-11 22:15:04
15,grytviken,-54.2811,-36.5092,-0.22,86,98,5.37,GS,2024-11-11 22:19:57
16,chonchi,-42.6128,-73.8092,9.51,94,100,1.42,CL,2024-11-11 22:19:58
17,kalyazin,57.2403,37.8433,-1.1,90,99,2.89,RU,2024-11-11 22:20:01
18,adamstown,-25.066,-130.1015,21.79,67,100,1.34,PN,2024-11-11 22:20:02
19,pierre,44.3683,-100.351,2.51,87,0,9.26,US,2024-11-11 22:19:04
20,kalakkadu,8.5,77.5667,31.88,48,63,0.17,IN,2024-11-11 22:20:04
21,dubbo,-32.25,148.6167,29.07,32,20,3.6,AU,2024-11-11 22:17:34
22,anna regina,7.2644,-58.5077,26.07,87,98,4.55,GY,2024-11-11 22:20:06
23,addiet canna,11.2667,37.4833,16.73,72,27,0.9,ET,2024-11-11 22:20:08
24,buckeye,33.3703,-112.5838,19.05,21,0,2.26,US,2024-11-11 22:20:09
25,mar del plata,-38.0023,-57.5575,10.05,80,23,2.68,AR,2024-11-11 22:15:31
26,kirillov,59.863,38.3813,-1.52,80,100,1.96,RU,2024-11-11 22:20:12
27,qaqortoq,60.7167,-46.0333,-2.9,75,8,11.1,GL,2024-11-11 22:20:15
28,ushuaia,-54.8,-68.3,4.28,95,98,1.36,AR,2024-11-11 22:16:31
29,el calafate,-50.3408,-72.2768,7.35,80,6,4.5,AR,2024-11-11 22:20:17
30,yuzhno-kurilsk,44.0306,145.8556,7.31,85,100,2.57,RU,2024-11-11 22:20:18
31,iqaluit,63.7506,-68.5145,-13.5,84,76,0.89,CA,2024-11-11 22:20:19
32,mont-laurier,46.5501,-75.4993,1.45,90,100,6.31,CA,2024-11-11 22:20:20
